,"county, state",County Lat/long,SIP Order Date
759,"Bayfield County, Wisconsin","46.4710241, -91.1983175",3/24/2020
760,"Calumet County, Wisconsin","44.0751086, -88.2144321",3/24/2020
761,"Columbia County, Wisconsin","43.4641929, -89.3478429",3/24/2020
762,"Eau Claire County, Wisconsin","44.7257643, -91.3040313",3/24/2020
763,"Ozaukee County, Wisconsin","43.3569041, -87.9579748",3/24/2020
764,"Sauk County, Wisconsin","43.4401728, -89.9653841",3/24/2020
765,"Walworth County, Wisconsin","42.66774995, -88.54129289935219",3/24/2020
766,"Cullman County, Alabama","34.1335332, -86.8779268",4/3/2020
767,"Jackson County, Alabama","34.7692447, -85.9867941",4/3/2020
768,"Lamar County, Alabama","33.7490016, -88.1003689",4/3/2020
769,"Lauderdale County, Alabama","34.9049555, -87.6747398",4/3/2020
770,"Washington County, Alabama","31.3991238, -88.2019828",4/3/2020
771,"Yuma County, Arizona","32.7915374, -113.8975031",3/30/2020
772,"Unknown County, Arkansas","40.025709, -105.366976",0/0/0
773,"Amador County, California","38.449089, -120.5911018",3/19/2020
774,"Imperial County, California","33.0305487, -115.3595666",3/19/2020
775,"Broomfield County, Colorado","39.9203827, -105.0691464",3/25/2020
776,"Park County, Colorado","39.1089299, -105.7561639",3/25/2020
777,"San Miguel County, Colorado","37.96345975, -108.41184816085345",3/25/2020
778,"New London County, Connecticut","41.4915013, -72.1237666",3/20/2020
779,"Monroe County, Florida","25.0405135, -80.8337157",4/1/2020
780,"Unknown County, Georgia","41.384388, 43.1507574",4/2/2020
781,"Carroll County, Georgia","33.5588005, -85.0641272",4/2/2020
782,"Chatham County, Georgia","31.9668887, -81.0626008",4/2/2020
783,"Dawson County, Georgia","34.4077085, -84.1356771",4/2/2020
784,"Douglas County, Georgia","33.6995565, -84.7622973",4/2/2020
785,"Heard County, Georgia","33.2786225, -85.113782",4/2/2020
786,"Lamar County, Georgia","33.0649401, -84.1445952",4/2/2020
787,"Lincoln County, Georgia","33.7876673, -82.4508165",4/2/2020
788,"Miller County, Georgia","31.1591063, -84.737836",4/2/2020
789,"Monroe County, Georgia","33.0142344, -83.9044159",4/2/2020
790,"Muscogee County, Georgia","32.4840651, -84.8502167",4/2/2020
791,"Oconee County, Georgia","33.829579, -83.4275918",4/2/2020
792,"Pickens County, Georgia","34.4630619, -84.4682402",4/2/2020
793,"Randolph County, Georgia","31.7620266, -84.7468429",4/2/2020
794,"Spalding County, Georgia","33.2591296, -84.2770865",4/2/2020
795,"Sumter County, Georgia","32.0485072, -84.1862464",4/2/2020
796,"Terrell County, Georgia","31.7615999, -84.4410234",4/2/2020
797,"Tift County, Georgia","31.45874595, -83.51792416411274",4/2/2020
798,"Turner County, Georgia","31.7031592, -83.6214408",4/2/2020
799,"Worth County, Georgia","31.524179, -83.8712801",4/2/2020
800,"Bingham County, Idaho","43.1881598, -112.3598354",3/25/2020
801,"Canyon County, Idaho","43.6435692, -116.7017144",3/25/2020
802,"Kootenai County, Idaho","47.654857, -116.7162916",3/25/2020
803,"Adams County, Illinois","39.9787786, -91.2110065",3/20/2020
804,"Christian County, Illinois","39.5212598, -89.2829783",3/20/2020
805,"McLean County, Illinois","40.4631789, -88.8196613",3/20/2020
806,"Allen County, Indiana","41.0975573, -85.0562084",3/23/2020
807,"Grant County, Indiana","40.5114735, -85.6540606",3/23/2020
808,"Shelby County, Indiana","39.493485, -85.8190596",3/23/2020
809,"Vanderburgh County, Indiana","38.0461185, -87.5806553",3/23/2020
810,"Vigo County, Indiana","39.4174652, -87.3974269",3/23/2020
811,"Reno County, Kansas","37.930344, -98.1055753",3/28/2020
812,"Riley County, Kansas","39.3026347, -96.7709339",3/28/2020
813,"Calloway County, Kentucky","36.6257937, -88.271076",3/22/2020
814,"Catahoula County, Louisiana","31.7294681, -91.8487107",3/22/2020
815,"De Soto County, Louisiana","32.0195388, -93.7488946",3/22/2020
816,"Rapides County, Louisiana","31.1719886, -92.5526386",3/22/2020
817,"Tangipahoa County, Louisiana","30.6323024, -90.4315754",3/22/2020
818,"Worcester County, Maryland","38.2231182, -75.3319465",3/30/2020
819,"Chisago County, Minnesota","45.4758877, -92.8849411",3/25/2020
820,"Clay County, Minnesota","46.8994904, -96.5088202",3/25/2020
821,"Fillmore County, Minnesota","43.6466588, -92.0636359",3/25/2020
822,"Adams County, Mississippi","31.4904433, -91.3297733",4/1/2020
823,"Franklin County, Mississippi","31.467398, -90.8992648",4/1/2020
824,"Humphreys County, Mississippi","33.1282074, -90.5408182",4/1/2020
825,"Lafayette County, Mississippi","34.3519389, -89.4664677",4/1/2020
826,"Lawrence County, Mississippi","31.5129753, -90.1205396",4/1/2020
827,"Lee County, Mississippi","34.265749, -88.6913264",4/1/2020
828,"Marshall County, Mississippi","34.7329561, -89.4725635",4/1/2020
829,"Pike County, Mississippi","39.548248, -91.153628",4/1/2020
830,"Rankin County, Mississippi","32.2338702, -89.9484651",4/1/2020
831,"Smith County, Mississippi","32.0018336, -89.4877278",4/1/2020
832,"Tippah County, Mississippi","34.7296814, -88.9119403",4/1/2020
833,"Kansas City County, Missouri","39.100105, -94.5781416",4/3/2020
834,"Unknown County, Missouri","38.24487, -92.6730186",4/3/2020
835,"Christian County, Missouri","36.9586087, -93.1692896",4/3/2020
836,"Dunklin County, Missouri","36.2156534, -90.0591292",4/3/2020
837,"Pulaski County, Missouri","37.8402606, -92.2248398",4/3/2020
838,"Scott County, Missouri","37.0516647, -89.5523071",4/3/2020
839,"Buffalo County, Nebraska","40.8421618, -99.0845451",0/0/0
840,"Lancaster County, Nebraska","40.7768326, -96.7111039",0/0/0
841,"Nye County, Nevada","38.3544843, -116.4069616",0/0/0
842,"Cheshire County, New Hampshire","42.9525022, -72.2834412",3/26/2020
843,"Cumberland County, New Jersey","39.3183341, -75.1623239",3/21/2020
844,"Doña Ana County, New Mexico","32.32817, -106.8494235",3/23/2020
845,"McKinley County, New Mexico","35.6438394, -108.1515609",3/23/2020
846,"Columbia County, New York","42.2415027, -73.6723456",3/20/2020
847,"Fulton County, New York","43.1061507, -74.4461771",3/20/2020
848,"Genesee County, New York","43.0102726, -78.1780196",3/20/2020
849,"Niagara County, New York","43.2042439, -78.7676017",3/20/2020
850,"Oneida County, New York","43.2144051, -75.4039155",3/20/2020
851,"Carteret County, North Carolina","34.8496625, -76.5931208",3/27/2020
852,"Davidson County, North Carolina","35.7902384, -80.2115053",3/27/2020
853,"Franklin County, North Carolina","36.1028596, -78.2787229",3/27/2020
854,"Orange County, North Carolina","36.0605095, -79.1172679",3/27/2020
855,"Pasquotank County, North Carolina","36.2280793, -76.2149621",3/27/2020
856,"Pitt County, North Carolina","35.611481, -77.3707461",3/27/2020
857,"Rowan County, North Carolina","35.6315952, -80.5171754",3/27/2020
858,"Stanly County, North Carolina","35.3235477, -80.2391366",3/27/2020
859,"Pierce County, North Dakota","48.1957108, -100.0625504",0/0/0
860,"Ramsey County, North Dakota","48.2426199, -98.7062419",0/0/0
861,"Ashtabula County, Ohio","41.7167229, -80.74947",3/22/2020
862,"Columbiana County, Ohio","40.7787016, -80.7648602",3/22/2020
863,"Marion County, Ohio","40.5885271, -83.1895249",3/22/2020
864,"Union County, Ohio","40.3255937, -83.3676859",3/22/2020
865,"Warren County, Ohio","39.4203978, -84.180897",3/22/2020
866,"Garvin County, Oklahoma","34.7258964, -97.3522579",4/1/2020
867,"Grant County, Oregon","44.464824, -119.0565278",3/23/2020
868,"Union County, Oregon","45.2680014, -118.0257466",3/23/2020
869,"Centre County, Pennsylvania","40.9381735, -77.7865722",4/1/2020
870,"Erie County, Pennsylvania","41.9905475, -80.0277493",4/1/2020
871,"Franklin County, Pennsylvania","39.9259345, -77.7485516",4/1/2020
872,"Potter County, Pennsylvania","41.7302743, -77.9022292",4/1/2020
873,"Aiken County, South Carolina","33.5723191, -81.6182086",4/6/2020
874,"Berkeley County, South Carolina","33.1595951, -79.9070461",4/6/2020
875,"Clarendon County, South Carolina","33.6653463, -80.2277002",4/6/2020
876,"Darlington County, South Carolina","34.3609331, -79.9438572",4/6/2020
877,"Florence County, South Carolina","33.986694, -79.6644927",4/6/2020
878,"Orangeburg County, South Carolina","33.4054944, -80.778429",4/6/2020
879,"Pickens County, South Carolina","34.8882592, -82.7193824",4/6/2020
880,"Sumter County, South Carolina","33.8998826, -80.3237032",4/6/2020
881,"Anderson County, Tennessee","36.1063226, -84.1849939",3/30/2020
882,"Blount County, Tennessee","35.6719722, -83.9314465",3/30/2020
883,"Bradley County, Tennessee","35.1694469, -84.855938",3/30/2020
884,"Dickson County, Tennessee","36.1459327, -87.3480592",3/30/2020
885,"Greene County, Tennessee","36.1698443, -82.8766356",3/30/2020
886,"Hamblen County, Tennessee","36.2068067, -83.267995",3/30/2020
887,"Maury County, Tennessee","35.6285992, -87.0736684",3/30/2020
888,"Tipton County, Tennessee","35.499348, -89.7487432",3/30/2020
889,"Brown County, Texas","31.7525184, -98.9904722",3/31/2020
890,"Cass County, Texas","33.0560857, -94.3510366",3/31/2020
891,"Fannin County, Texas","33.5372542, -96.0902822",3/31/2020
892,"Hockley County, Texas","33.5714311, -102.3110415",3/31/2020
893,"Upshur County, Texas","32.7263725, -94.9286251",3/31/2020
894,"Addison County, Vermont","44.0285618, -73.1491036",3/24/2020
895,"Rutland County, Vermont","43.5299763, -73.0347131",3/24/2020
896,"Accomack County, Virginia","37.7422207, -75.6743538",3/30/2020
897,"Gloucester County, Virginia","37.4452288, -76.5594479",3/30/2020
898,"Newport News city County, Virginia","37.0914429, -76.5213892",3/30/2020
899,"Norfolk city County, Virginia","36.8889933, -76.2481624",3/30/2020
900,"Portsmouth city County, Virginia","36.8678592, -76.37559852679193",3/30/2020
901,"Cowlitz County, Washington","46.1998625, -122.6931507",3/23/2020
902,"San Juan County, Washington","48.5443087, -122.9919497",3/23/2020
903,"Stevens County, Washington","48.4249969, -117.8489411",3/23/2020
904,"Jackson County, West Virginia","38.818099, -81.6584708",3/23/2020
905,"Kanawha County, West Virginia","38.3428208, -81.5089835",3/23/2020
906,"Chippewa County, Wisconsin","45.0740585, -91.2947258",3/24/2020
907,"Douglas County, Wisconsin","46.4396038, -91.9059158",3/24/2020
908,"Dunn County, Wisconsin","44.9333564, -91.8994409",3/24/2020
909,"Green County, Wisconsin","42.6791433, -89.6076428",3/24/2020
910,"Jefferson County, Wisconsin","43.0224668, -88.7673031",3/24/2020
911,"Marathon County, Wisconsin","44.8914036, -89.7748098",3/24/2020
912,"Rock County, Wisconsin","42.6654418, -89.081772",3/24/2020
913,"St. Croix County, Wisconsin","45.0312388, -92.4679305",3/24/2020
914,"Campbell County, Wyoming","44.1908398, -105.5775352",0/0/0
915,"Natrona County, Wyoming","42.9487008, -106.8465639",0/0/0
916,"Marion County, Alabama","34.1128132, -87.8544031",4/3/2020
917,"Apache County, Arizona","35.214632, -109.4786676",3/30/2020
918,"Cochise County, Arizona","31.8514532, -109.8181858",3/30/2020
919,"Butte County, California","39.6519275, -121.5858444",3/19/2020
920,"El Dorado County, California","38.7574137, -120.5276129",3/19/2020
921,"Siskiyou County, California","41.5007223, -122.54435414752092",3/19/2020
922,"Yuba County, California","39.2839755, -121.3556818",3/19/2020
923,"Chaffee County, Colorado","38.7413025, -106.1825012",3/25/2020
924,"Elbert County, Colorado","39.3138822, -104.0868973",3/25/2020
925,"Hinsdale County, Colorado","37.813681, -107.3304179",3/25/2020
926,"Montrose County, Colorado","38.4375391, -108.2403855",3/25/2020
927,"Bay County, Florida","30.2481693, -85.6593633",4/1/2020
928,"Highlands County, Florida","27.3513186, -81.3615717",4/1/2020
929,"Marion County, Florida","29.2182454, -82.0626948",4/1/2020
930,"Putnam County, Florida","29.6266155, -81.7230549",4/1/2020
931,"St. Lucie County, Florida","27.3900897, -80.457904",4/1/2020
932,"Baldwin County, Georgia","33.0869398, -83.2633216",4/2/2020
933,"Lumpkin County, Georgia","34.5546076, -83.9926806",4/2/2020
934,"DeKalb County, Illinois","41.8903447, -88.7713953",3/20/2020
935,"Delaware County, Indiana","40.2193275, -85.4040612",3/23/2020
936,"Elkhart County, Indiana","41.6012796, -85.8590603",3/23/2020
937,"Hancock County, Indiana","39.8127873, -85.7874738",3/23/2020
938,"Harrison County, Indiana","38.1816187, -86.1066917",3/23/2020
939,"Miami County, Indiana","40.81872435, -86.0558596169356",3/23/2020
940,"Washington County, Indiana","38.5612578, -86.1179768",3/23/2020
941,"Fayette County, Iowa","42.8420766, -91.850265",0/0/0
942,"Henry County, Iowa","40.9778301, -91.5511282",0/0/0
943,"Linn County, Iowa","42.0631825, -91.6037932",0/0/0
944,"Story County, Iowa","42.0161612, -93.489194",0/0/0
945,"Anderson County, Kentucky","38.0096811, -84.9880147",3/22/2020
946,"Madison County, Kentucky","37.7298081, -84.2974735",3/22/2020
947,"Spencer County, Kentucky","38.0237475, -85.3203899",3/22/2020
948,"Avoyelles County, Louisiana","31.0471604, -92.0019698",3/22/2020
949,"Beauregard County, Louisiana","30.6144496, -93.3416829",3/22/2020
950,"Bienville County, Louisiana","32.3231432, -93.0761115",3/22/2020
951,"Claiborne County, Louisiana","32.8218607, -93.0097229",3/22/2020
952,"Evangeline County, Louisiana","30.6976776, -92.4217813",3/22/2020
953,"Ouachita County, Louisiana","33.5381997, -92.8179052",3/22/2020
954,"St. Mary County, Louisiana","29.692329, -91.442465",3/22/2020
955,"Sagadahoc County, Maine","43.9900158, -69.8654643",3/31/2020
956,"Caroline County, Maryland","38.8550631, -75.8247398",3/30/2020
957,"Somerset County, Maryland","38.0630795, -75.8745873",3/30/2020
958,"Washington County, Maryland","39.5893502, -77.710254",3/30/2020
959,"Nantucket County, Massachusetts","41.2657181, -70.0683144",3/23/2020
960,"Allegan County, Michigan","42.5867203, -85.8861492",3/23/2020
961,"Barry County, Michigan","42.5910739, -85.3242417",3/23/2020
962,"Berrien County, Michigan","41.9838614, -86.3985714",3/23/2020
963,"Calhoun County, Michigan","42.2461339, -85.0229223",3/23/2020
964,"Clare County, Michigan","43.9688673, -84.8505091",3/23/2020
965,"Saginaw County, Michigan","43.3326882, -84.0468403",3/23/2020
966,"Tuscola County, Michigan","43.4776781, -83.3951071",3/23/2020
967,"Wexford County, Michigan","44.3353211, -85.5741088",3/23/2020
968,"Unknown County, Minnesota","39.6928871, -104.9184506",3/25/2020
969,"Dodge County, Minnesota","44.0175404, -92.8678406",3/25/2020
970,"Jackson County, Minnesota","43.670011, -95.1500626",3/25/2020
971,"St. Louis County, Minnesota","47.6201005, -92.4363343",3/25/2020
972,"Steele County, Minnesota","44.0137336, -93.2203671",3/25/2020
973,"Wabasha County, Minnesota","44.2767596, -92.2018164",3/25/2020
974,"Attala County, Mississippi","33.0777868, -89.5680661",4/1/2020
975,"Clay County, Mississippi","33.6393012, -88.7957063",4/1/2020
976,"George County, Mississippi","30.857421, -88.6537118",4/1/2020
977,"Grenada County, Mississippi","33.772401, -89.7674875",4/1/2020
978,"Itawamba County, Mississippi","34.2774018, -88.3713687",4/1/2020
979,"Leake County, Mississippi","32.7401114, -89.5241292",4/1/2020
980,"Lincoln County, Mississippi","31.4885409, -90.4480916",4/1/2020
981,"Lowndes County, Mississippi","33.4466925, -88.4108384",4/1/2020
982,"Panola County, Mississippi","34.3793392, -89.9601925",4/1/2020
983,"Simpson County, Mississippi","31.8919593, -89.9323619",4/1/2020
984,"Tunica County, Mississippi","34.6399136, -90.3623833",4/1/2020
985,"Union County, Mississippi","34.4834555, -88.9789198",4/1/2020
986,"Washington County, Mississippi","33.2626706, -90.9183546",4/1/2020
987,"Bates County, Missouri","38.2612027, -94.3503613",4/3/2020
988,"Jasper County, Missouri","37.176515, -94.3103412",4/3/2020
989,"Johnson County, Missouri","38.7295547, -93.8161034",4/3/2020
990,"Cascade County, Montana","47.3271465, -111.3281242",3/26/2020
991,"Ravalli County, Montana","46.0757223, -114.1139453",3/26/2020
992,"Strafford County, New Hampshire","43.3312505, -71.0399927",3/26/2020
993,"Lea County, New Mexico","32.7448727, -103.3828242",3/23/2020
994,"Steuben County, New York","42.2359045, -77.3750862",3/20/2020
995,"Buncombe County, North Carolina","35.6292222, -82.5255603",3/27/2020
996,"Catawba County, North Carolina","35.6740563, -81.2107215",3/27/2020
997,"Clermont County, Ohio","39.0678155, -84.1566341",3/22/2020
998,"Defiance County, Ohio","41.3203058, -84.5084835",3/22/2020
999,"Erie County, Ohio","41.3506462, -82.640448",3/22/2020
1000,"Licking County, Ohio","40.1318041, -82.4627856",3/22/2020
1001,"Josephine County, Oregon","42.3554368, -123.5602707",3/23/2020
1002,"Butler County, Pennsylvania","40.9162435, -79.92623988102099",4/1/2020
1003,"Montour County, Pennsylvania","41.0289528, -76.6615816",4/1/2020
1004,"Dillon County, South Carolina","34.4014089, -79.3864339",4/6/2020
1005,"Edgefield County, South Carolina","33.7635851, -81.9759066",4/6/2020
1006,"Greenwood County, South Carolina","34.1489805, -82.112882",4/6/2020
1007,"Jasper County, South Carolina","32.4048602, -81.0414726",4/6/2020
1008,"Marlboro County, South Carolina","34.5810346, -79.6742033",4/6/2020
1009,"Newberry County, South Carolina","34.3266879, -81.5830086",4/6/2020
1010,"Carroll County, Tennessee","35.9631851, -88.4487987",3/30/2020
1011,"Cocke County, Tennessee","35.9467093, -83.103978",3/30/2020
1012,"Fayette County, Tennessee","35.1739357, -89.4175416",3/30/2020
1013,"Monroe County, Tennessee","35.4397238, -84.239964",3/30/2020
1014,"Putnam County, Tennessee","36.1379872, -85.4553784",3/30/2020
1015,"Roane County, Tennessee","35.84857, -84.5225522",3/30/2020
1016,"Scott County, Tennessee","36.4380433, -84.5095507",3/30/2020
1017,"Bastrop County, Texas","30.0900753, -97.3127179",3/31/2020
1018,"Castro County, Texas","34.4952536, -102.2592314",3/31/2020
1019,"Deaf Smith County, Texas","34.9323974, -102.5983118",3/31/2020
1020,"Midland County, Texas","31.83688, -102.0103767",3/31/2020
1021,"Oldham County, Texas","35.3907651, -102.6193428",3/31/2020
1022,"Potter County, Texas","35.3683354, -101.8776577",3/31/2020
1023,"Franklin County, Vermont","44.8753987, -72.9297141",3/24/2020
1024,"Windham County, Vermont","43.0028875, -72.7634259",3/24/2020
1025,"Albemarle County, Virginia","38.0085107, -78.6086754",3/30/2020
1026,"Botetourt County, Virginia","37.5520825, -79.8029569",3/30/2020
1027,"Franklin County, Virginia","36.9911656, -79.8839701",3/30/2020
1028,"Isle of Wight County, Virginia","36.8953677, -76.7248143",3/30/2020
1029,"Mecklenburg County, Virginia","36.6798483, -78.314746",3/30/2020
1030,"Suffolk city County, Virginia","36.7427673, -76.6241825",3/30/2020
1031,"Marshall County, West Virginia","39.854861, -80.6616946",3/23/2020
1032,"Putnam County, West Virginia","38.4939687, -81.9150148",3/23/2020
1033,"Carbon County, Wyoming","41.7423474, -106.8625645",0/0/0
1034,"Unknown County, California","39.7451627, -104.9920264",3/19/2020
1035,"Unknown County, Colorado","39.6796152, -104.9376995",3/25/2020
1036,"Unknown County, Florida","39.6899872, -104.8284758",4/1/2020
1037,"Bradford County, Florida","29.9715087, -82.1608653",4/1/2020
1038,"Columbia County, Florida","30.1935988, -82.6327488",4/1/2020
1039,"DeSoto County, Florida","27.190253, -81.8244232",4/1/2020
1040,"Flagler County, Florida","29.4844412, -81.2917415",4/1/2020
1041,"Barrow County, Georgia","33.9848611, -83.6996482",4/2/2020
1042,"Butts County, Georgia","33.2825083, -83.9548161",4/2/2020
1043,"Chattooga County, Georgia","34.4620931, -85.3660518",4/2/2020
1044,"Clinch County, Georgia","30.8938781, -82.6923467",4/2/2020
1045,"Coffee County, Georgia","31.5301809, -82.8405691",4/2/2020
1046,"Tattnall County, Georgia","32.0252793, -82.0580692",4/2/2020
1047,"Twiggs County, Georgia","32.6467914, -83.4351636",4/2/2020
1048,"Valley County, Idaho","44.7475094, -115.5978843",3/25/2020
1049,"Champaign County, Illinois","40.1346857, -88.1975558",3/20/2020
1050,"Jo Daviess County, Illinois","42.3506664, -90.1743742",3/20/2020
1051,"Livingston County, Illinois","40.8682487, -88.5631125",3/20/2020
1052,"Rock Island County, Illinois","41.4411786, -90.5766144",3/20/2020
1053,"Stephenson County, Illinois","42.3503474, -89.6735637",3/20/2020
1054,"Monroe County, Indiana","39.1294237, -86.5187646",3/23/2020
1055,"Morgan County, Indiana","39.4665575, -86.4556794",3/23/2020
1056,"Putnam County, Indiana","39.6666195, -86.8374032",3/23/2020
1057,"Ripley County, Indiana","39.0846316, -85.2691784",3/23/2020
1058,"Scott County, Indiana","38.6727039, -85.7444145",3/23/2020
1059,"Tipton County, Indiana","40.2899154, -86.058442",3/23/2020
1060,"Cerro Gordo County, Iowa","43.0742443, -93.2548746",0/0/0
1061,"Kossuth County, Iowa","43.1825351, -94.209098",0/0/0
1062,"Poweshiek County, Iowa","41.6816512, -92.5435034",0/0/0
1063,"Scott County, Iowa","41.6251843, -90.6164201",0/0/0
1064,"Sioux County, Iowa","43.0574079, -96.1602368",0/0/0
1065,"Tama County, Iowa","42.0568108, -92.5433918",0/0/0
1066,"Woodbury County, Iowa","42.3775361, -96.0607187",0/0/0
1067,"Jackson County, Kansas","39.4030917, -95.8159647",3/28/2020
1068,"Mitchell County, Kansas","39.3863019, -98.2112629",3/28/2020
1069,"Allen County, Kentucky","36.7528961, -86.1924103",3/22/2020
1070,"Breathitt County, Kentucky","37.5248869, -83.2943551",3/22/2020
1071,"Hardin County, Kentucky","37.6645815, -85.9634901",3/22/2020
1072,"Jessamine County, Kentucky","37.8652866, -84.576902",3/22/2020
1073,"Oldham County, Kentucky","38.404768450000006, -85.47683155885518",3/22/2020
1074,"Acadia County, Louisiana","30.2740735, -92.3957036",3/22/2020
1075,"Cecil County, Maryland","39.5729428, -75.9381806",3/30/2020
1076,"St. Mary's County, Maryland","38.206621, -76.5389973",3/30/2020
1077,"Emmet County, Michigan","45.5064041, -84.8567966",3/23/2020
1078,"Gladwin County, Michigan","43.9747774, -84.3873235",3/23/2020
1079,"Grand Traverse County, Michigan","44.6409162, -85.5801336",3/23/2020
1080,"Roscommon County, Michigan","44.3326932, -84.6165164",3/23/2020
1081,"Le Sueur County, Minnesota","44.3771652, -93.711443",3/25/2020
1082,"Chickasaw County, Mississippi","33.9137474, -88.9357382",4/1/2020
1083,"Montgomery County, Mississippi","33.5074528, -89.6182472",4/1/2020
1084,"Oktibbeha County, Mississippi","33.4131096, -88.8937318",4/1/2020
1085,"Pontotoc County, Mississippi","34.2114655, -89.0382651",4/1/2020
1086,"Sunflower County, Mississippi","33.4980504, -90.602067",4/1/2020
1087,"Tate County, Mississippi","34.6391489, -89.9335244",4/1/2020
1088,"Webster County, Mississippi","33.6197203, -89.2646598",4/1/2020
1089,"Dawson County, Nebraska","40.8776438, -99.8505693",0/0/0
1090,"Sullivan County, New Hampshire","43.3564357, -72.2392517",3/26/2020
1091,"Salem County, New Jersey","39.5980987, -75.3488201",3/21/2020
1092,"San Juan County, New Mexico","36.4755752, -108.3046555",3/23/2020
1093,"Cortland County, New York","42.5842136, -76.0704906",3/20/2020
1094,"Madison County, New York","42.875882, -75.6802581",3/20/2020
1095,"St. Lawrence County, New York","44.4973591, -75.0657043",3/20/2020
1096,"Cherokee County, North Carolina","35.1184149, -84.0886181",3/27/2020
1097,"Cumberland County, North Carolina","35.0461723, -78.8394255",3/27/2020
1098,"Davie County, North Carolina","35.9375154, -80.5464948",3/27/2020
1099,"Granville County, North Carolina","36.3210127, -78.6593963",3/27/2020
1100,"Henderson County, North Carolina","35.3389062, -82.4663918",3/27/2020
1101,"Lee County, North Carolina","35.4691746, -79.1547643",3/27/2020
1102,"Nash County, North Carolina","35.992983, -77.9755309",3/27/2020
1103,"Robeson County, North Carolina","34.6485079, -79.0954942",3/27/2020
1104,"Scotland County, North Carolina","34.8628902, -79.4903372",3/27/2020
1105,"Union County, North Carolina","34.9795158, -80.5128209",3/27/2020
1106,"Carroll County, Ohio","40.5250362, -81.0927234",3/22/2020
1107,"Clinton County, Ohio","39.4259873, -83.8445792",3/22/2020
1108,"Gallia County, Ohio","38.7952465, -82.3556216",3/22/2020
1109,"Greene County, Ohio","39.6908207, -83.9175037",3/22/2020
1110,"Hancock County, Ohio","40.9939911, -83.6587588",3/22/2020
1111,"Portage County, Ohio","41.1496775, -81.2082",3/22/2020
1112,"Wood County, Ohio","41.2776661, -83.6643025",3/22/2020
1113,"Muskogee County, Oklahoma","35.6630196, -95.3927706",4/1/2020
1114,"Noble County, Oklahoma","36.4129621, -97.2681939",4/1/2020
1115,"Columbia County, Pennsylvania","41.0389186, -76.4191791",4/1/2020
1116,"Dauphin County, Pennsylvania","40.398036, -76.8115168",4/1/2020
1117,"Fayette County, Pennsylvania","39.921022, -79.6663803",4/1/2020
1118,"Mercer County, Pennsylvania","41.3334542, -80.3014412",4/1/2020
1119,"Schuylkill County, Pennsylvania","40.6936632, -76.2277971",4/1/2020
1120,"Colleton County, South Carolina","32.8620726, -80.677114",4/6/2020
1121,"Brown County, South Dakota","45.5832968, -98.3674786",3/23/2020
1122,"Chester County, Tennessee","35.4265564, -88.6009817",3/30/2020
1123,"Franklin County, Tennessee","35.1680139, -86.1084401",3/30/2020
1124,"Gibson County, Tennessee","35.9745692, -88.932729",3/30/2020
1125,"Houston County, Tennessee","36.2696163, -87.7406571",3/30/2020
1126,"Loudon County, Tennessee","35.7490023, -84.320293",3/30/2020
1127,"McMinn County, Tennessee","35.444223, -84.624875",3/30/2020
1128,"Marion County, Tennessee","35.1507807, -85.617868",3/30/2020
1129,"Perry County, Tennessee","35.6337989, -87.8498777",3/30/2020
1130,"Amherst County, Virginia","37.5997548, -79.1483701",3/30/2020
1131,"Bedford County, Virginia","37.3123905, -79.5399003",3/30/2020
1132,"Culpeper County, Virginia","38.4912207, -77.9618216",3/30/2020
1133,"Fluvanna County, Virginia","37.8488527, -78.2789994",3/30/2020
1134,"Lee County, Virginia","36.6841272, -83.0973211",3/30/2020
1135,"Louisa County, Virginia","37.9854441, -77.9486307",3/30/2020
1136,"Rockingham County, Virginia","38.5080288, -78.8949442",3/30/2020
1137,"Whitman County, Washington","46.9428831, -117.5286172",3/23/2020
1138,"Franklin County, Alabama","34.440962, -87.8339064",4/3/2020
1139,"Houston County, Alabama","31.1355603, -85.2654592",4/3/2020
1140,"Tallapoosa County, Alabama","32.8595687, -85.8023774",4/3/2020
1141,"Juneau City and Borough County, Alaska","58.3019496, -134.419734",3/27/2020
1142,"Matanuska-Susitna Borough County, Alaska","62.3402481, -149.4793288",3/27/2020
1143,"La Plata County, Colorado","37.2889732, -107.8539029",3/25/2020
1144,"Logan County, Colorado","40.7250975, -103.1221379",3/25/2020
1145,"Teller County, Colorado","38.889575, -105.1797307",3/25/2020
1146,"Burke County, Georgia","33.0482247, -81.9575983",4/2/2020
1147,"Catoosa County, Georgia","34.8911137, -85.131315",4/2/2020
1148,"Harris County, Georgia","32.7251788, -84.9104641",4/2/2020
1149,"Liberty County, Georgia","31.8031632, -81.483441",4/2/2020
1150,"Madison County, Georgia","34.1307533, -83.1817407",4/2/2020
1151,"Morgan County, Georgia","33.5793193, -83.5051522",4/2/2020
1152,"Pierce County, Georgia","31.3430068, -82.2352189",4/2/2020
1153,"Washington County, Georgia","32.9619979, -82.7748026",4/2/2020
1154,"Unknown County, Hawaii","37.3850517, -102.2713629",3/23/2020
1155,"Unknown County, Illinois","38.230404, -103.659086",3/20/2020
1156,"Monroe County, Illinois","38.2722313, -90.1792484",3/20/2020
1157,"Dubois County, Indiana","38.3644324, -86.8870278",3/23/2020
1158,"Hancock County, Iowa","43.0847702, -93.7363674",0/0/0
1159,"Wapello County, Iowa","41.0137597, -92.4140217",0/0/0
1160,"Bourbon County, Kansas","37.8485797, -94.8679591",3/28/2020
